dataset,genotype,camera,datetime,setup,filename,fly_id,is_male,total_frames,nan_frames,valid_frames,nan_percentage,recording_duration_sec,nan_time_sec,nan_time_min,frame_rate
dataset_1,DGRP859,CamA,2026-01-15T13,N/A,DGRP859_CamA_2026-01-15T13_40_51_trajectories.csv,3,False,432000,309,431691,0.07152777777777777,7199.983,5.149999761573523,0.08583332935955872,60.00000277778433
dataset_1,DGRP859,CamA,2026-01-15T13,N/A,DGRP859_CamA_2026-01-15T13_40_51_trajectories.csv,4,False,432000,171,431829,0.03958333333333333,7199.983,2.8499998680552503,0.04749999780092084,60.00000277778433
dataset_1,DGRP859,CamA,2026-01-15T13,N/A,DGRP859_CamA_2026-01-15T13_40_51_trajectories.csv,5,False,432000,3609,428391,0.8354166666666666,7199.983,60.149997215271334,1.0024999535878556,60.00000277778433
dataset_1,DGRP859,CamA,2026-01-15T13,N/A,DGRP859_CamA_2026-01-15T13_40_51_trajectories.csv,6,False,432000,33783,398217,7.820138888888889,7199.983,563.0499739328101,9.3841662322135,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-12T13,N/A,DGRP859_CamB_2026-01-12T13_04_58_trajectories.csv,1,False,432000,60,431940,0.013888888888888888,7199.983,0.9999999537035966,0.016666665895059943,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-12T13,N/A,DGRP859_CamB_2026-01-12T13_04_58_trajectories.csv,2,False,432000,42208,389792,9.77037037037037,7199.983,703.4666340986901,11.724443901644834,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-12T13,N/A,DGRP859_CamB_2026-01-12T13_04_58_trajectories.csv,3,False,432000,3843,428157,0.8895833333333334,7199.983,64.04999703471536,1.0674999505785894,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-12T13,N/A,DGRP859_CamB_2026-01-12T13_04_58_trajectories.csv,4,True,432000,59920,372080,13.870370370370368,7199.983,998.6666204319919,16.64444367386653,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-12T13,N/A,DGRP859_CamB_2026-01-12T13_04_58_trajectories.csv,5,False,432000,17926,414074,4.149537037037037,7199.983,298.76665283484454,4.979444213914076,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-12T13,N/A,DGRP859_CamB_2026-01-12T13_04_58_trajectories.csv,6,False,432000,92,431908,0.0212962962962963,7199.983,1.533333262345515,0.025555554372425248,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-13T11,N/A,DGRP859_CamB_2026-01-13T11_17_26_trajectories.csv,1,False,432000,59605,372395,13.797453703703704,7199.983,993.416620675048,16.556943677917467,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-13T11,N/A,DGRP859_CamB_2026-01-13T11_17_26_trajectories.csv,2,False,432000,46820,385180,10.837962962962964,7199.983,780.3332972067066,13.00555495344511,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-13T11,N/A,DGRP859_CamB_2026-01-13T11_17_26_trajectories.csv,3,False,432000,41115,390885,9.51736111111111,7199.983,685.2499682753896,11.420832804589827,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-13T11,N/A,DGRP859_CamB_2026-01-13T11_17_26_trajectories.csv,4,False,432000,69078,362922,15.990277777777779,7199.983,1151.2999466989509,19.188332444982514,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-13T11,N/A,DGRP859_CamB_2026-01-13T11_17_26_trajectories.csv,5,True,432000,4266,427734,0.9875,7199.983,71.09999670832572,1.184999945138762,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-13T11,N/A,DGRP859_CamB_2026-01-13T11_17_26_trajectories.csv,6,False,432000,1440,430560,0.33333333333333337,7199.983,23.999998888886317,0.3999999814814386,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-15T13,N/A,DGRP859_CamB_2026-01-15T13_40_51_trajectories.csv,1,False,432000,1088,430912,0.2518518518518518,7199.983,18.13333249382522,0.3022222082304203,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-15T13,N/A,DGRP859_CamB_2026-01-15T13_40_51_trajectories.csv,2,False,432000,279,431721,0.06458333333333333,7199.983,4.649999784721724,0.07749999641202873,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-15T13,N/A,DGRP859_CamB_2026-01-15T13_40_51_trajectories.csv,3,False,432000,4061,427939,0.9400462962962963,7199.983,67.68333019983844,1.1280555033306405,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-15T13,N/A,DGRP859_CamB_2026-01-15T13_40_51_trajectories.csv,4,False,432000,1505,430495,0.34837962962962965,7199.983,25.083332172065216,0.41805553620108693,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-15T13,N/A,DGRP859_CamB_2026-01-15T13_40_51_trajectories.csv,5,False,432000,916,431084,0.21203703703703705,7199.983,15.266665959874908,0.2544444326645818,60.00000277778433
dataset_1,DGRP859,CamB,2026-01-15T13,N/A,DGRP859_CamB_2026-01-15T13_40_51_trajectories.csv,6,True,432000,23684,408316,5.482407407407408,7199.983,394.7333150585997,6.578888584309995,60.00000277778433
dataset_2,DGRP375,CamA,2026-01-27T09,Setup2,DGRP375_CamA_2026-01-27T09_40_53_Setup2_trajectories.csv,1,False,360000,3838,356162,1.066111111111111,7199.98,76.76,1.2793333333333334,50.0
